Detector;Time;qPKW;vPKW
44656V72812_1;0;33;40
63028V72219_1;0;15;40
77022V72359_2;0;22;40
06970V72811_6;0;35;40
06970V72811_5;0;33;40
06970V72811_4;0;58;40
73951V2394243_1;0;51;40
34938V72813_1;0;22;40
06970V72811_3;0;28;40
06970V72811_2;0;5;40
36935V72359_1;0;24;40
06970V72811_1;0;1;40
65625V41945_2;0;12;40
88356V72157_6;0;11;40
36935V72359_2;0;9;40
73951V2394243_3;0;1;40
77022V72359_1;0;23;40
34938V72813_2;0;28;40
40649V2411511_1;0;7;40
21571V2394246_1;0;1;40
06750V2429605_3;0;6;40
21571V2394246_3;0;2;40
06750V2429605_2;0;16;40
06750V2429605_1;0;28;40
04300V72813_1;0;29;40
44660V72811_4;0;73;40
44660V72811_3;0;46;40
04300V72813_3;0;25;40
44660V72811_2;0;13;40
44660V72811_1;0;9;40
04211V1677432_1;0;9;40
75341V41863_2;0;15;40
75341V41863_1;0;26;40
04211V1677432_2;0;8;40
88356V72157_4;0;8;40
88356V72157_2;0;1;40
46684V1842951_1;0;10;40
88356V72157_1;0;10;40
17961V72812_6;0;1;40
78492V2394249_1;0;7;40
17961V72812_5;0;7;40
17961V72812_4;0;4;40
78492V2394249_2;0;9;40
17961V72812_3;0;9;40
17961V72812_2;0;9;40
78492V2394249_3;0;26;40
17961V72812_1;0;2;40
94210V2411536_4;0;68;40
78492V2394249_4;0;28;40
94210V2411536_3;0;24;40
94210V2411536_2;0;9;40
03476V41818_1;0;21;40
94210V2411536_1;0;4;40
81077V72158_1;0;12;40
06750V2429605_4;0;7;40
20570V72811_4;0;49;40
81077V72158_3;0;6;40
27372V72852_2;0;18;40
46684V1842951_2;0;14;40
27372V72852_1;0;14;40
21801V72158_2;0;4;40
44210V2411509_1;0;9;40
21801V72158_1;0;14;40
81008V41567_1;0;4;40
20570V72811_1;0;15;40
16219V72812_4;0;13;40
16219V72812_3;0;6;40
20570V72811_2;0;20;40
16219V72812_2;0;19;40
16219V72812_1;0;27;40
20570V72811_3;0;37;40
81077V72158_4;0;5;40
81077V72158_2;0;21;40
10236V72161_1;0;15;40
03476V41818_2;0;5;40
35002V72811_3;0;54;40
10236V72161_3;0;22;40
44656V72812_2;0;19;40
44656V72812_3;0;3;40
35002V72811_1;0;8;40
35002V72811_2;0;16;40
44656V72812_4;0;5;40
10236V72161_2;0;21;40
10236V72161_4;0;20;40
63028V72219_1;60;3;40
44660V72811_3;60;33;40
88356V72157_2;60;2;40
81077V72158_1;60;5;40
04300V72813_3;60;15;40
27372V72852_1;60;12;40
34938V72813_1;60;13;40
17961V72812_6;60;1;40
46684V1842951_2;60;4;40
27372V72852_2;60;9;40
20570V72811_4;60;10;40
88356V72157_1;60;2;40
44660V72811_4;60;14;40
17961V72812_5;60;3;40
35002V72811_3;60;37;40
44656V72812_2;60;18;40
17961V72812_4;60;6;40
77022V72359_2;60;13;40
04300V72813_1;60;13;40
78492V2394249_1;60;1;40
81077V72158_2;60;2;40
44660V72811_2;60;1;40
44210V2411509_1;60;1;40
04211V1677432_2;60;1;40
20570V72811_2;60;4;40
75341V41863_1;60;9;40
16219V72812_4;60;13;40
16219V72812_2;60;19;40
40649V2411511_1;60;3;40
10236V72161_3;60;15;40
75341V41863_2;60;3;40
06970V72811_2;60;1;40
16219V72812_1;60;19;40
21801V72158_2;60;6;40
20570V72811_1;60;6;40
04211V1677432_1;60;3;40
81077V72158_4;60;6;40
35002V72811_2;60;3;40
20570V72811_3;60;24;40
34938V72813_2;60;13;40
44660V72811_1;60;1;40
21801V72158_1;60;7;40
81077V72158_3;60;1;40
77022V72359_1;60;10;40
46684V1842951_1;60;2;40
81008V41567_1;60;1;40
78492V2394249_2;60;1;40
06970V72811_6;60;12;40
10236V72161_2;60;6;40
36935V72359_2;60;6;40
94210V2411536_4;60;11;40
06750V2429605_3;60;1;40
73951V2394243_1;60;134;40
78492V2394249_4;60;8;40
88356V72157_6;60;9;40
65625V41945_2;60;9;40
94210V2411536_3;60;23;40
21571V2394246_1;60;88;40
03476V41818_2;60;5;40
17961V72812_1;60;3;40
94210V2411536_2;60;2;40
06750V2429605_4;60;5;40
36935V72359_1;60;12;40
